Date,Primary Type,Description,Arrest,X Coordinate,Y Coordinate,Latitude,Longitude,Month,Hour,Hour_Only,Part of Day,geometry
2022-07-31 20:30:00,THEFT,OVER $500,False,1193413.0,1845452.0,41.730871832,-87.567044991,7,20:30:00,20,Evening,POINT (1193413 1845452)
2022-07-31 20:30:00,THEFT,OVER $500,False,1178694.0,1901250.0,41.884333364,-87.619266937,7,20:30:00,20,Evening,POINT (1178694 1901250)
2022-07-31 20:30:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,20:30:00,20,Evening,POINT (1178722 1901251)
2022-07-31 20:30:00,THEFT,OVER $500,False,1156283.0,1913143.0,41.917451038,-87.701241041,7,20:30:00,20,Evening,POINT (1156283 1913143)
2022-07-31 20:20:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,20:20:00,20,Evening,POINT (1178722 1901251)
2022-07-31 20:15:00,THEFT,$500 AND UNDER,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,20:15:00,20,Evening,POINT (1178722 1901251)
2022-07-31 20:00:00,THEFT,OVER $500,False,1176272.0,1904025.0,41.89200307,-87.628076963,7,20:00:00,20,Evening,POINT (1176272 1904025)
2022-07-31 20:00:00,THEFT,$500 AND UNDER,False,1148367.0,1937495.0,41.984431277,-87.729694654,7,20:00:00,20,Evening,POINT (1148367 1937495)
2022-07-31 20:00:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,20:00:00,20,Evening,POINT (1178722 1901251)
2022-07-31 20:00:00,THEFT,POCKET-PICKING,False,1177329.0,1903108.0,41.88946287,-87.624222942,7,20:00:00,20,Evening,POINT (1177329 1903108)
2022-07-31 19:46:00,THEFT,$500 AND UNDER,False,1180921.0,1880434.0,41.827161886,-87.61173162799999,7,19:46:00,19,Evening,POINT (1180921 1880434)
2022-07-31 19:45:00,THEFT,$500 AND UNDER,False,1178130.0,1844490.0,41.728591713,-87.623060472,7,19:45:00,19,Evening,POINT (1178130 1844490)
2022-07-31 19:30:00,THEFT,OVER $500,False,1154899.0,1929934.0,41.963554631,-87.705874353,7,19:30:00,19,Evening,POINT (1154899 1929934)
2022-07-31 19:30:00,THEFT,POCKET-PICKING,False,1178311.0,1899326.0,41.879062544,-87.620732006,7,19:30:00,19,Evening,POINT (1178311 1899326)
2022-07-31 19:30:00,THEFT,OVER $500,False,1167151.0,1904132.0,41.892497523,-87.66157112100001,7,19:30:00,19,Evening,POINT (1167151 1904132)
2022-07-31 19:19:00,THEFT,$500 AND UNDER,False,1181875.0,1884375.0,41.837954218,-87.60810952700001,7,19:19:00,19,Evening,POINT (1181875 1884375)
